term,example
we shall see,They say they are clever. We shall see.
wealthy,Yachts are for the wealthy few.
wealthy,"Judging from those facts, Mr Mori must be a wealthy person."
wealthy,The wealthy family built another large house.
wealthy,The lawyer has a lot of wealthy clients.
what the heck,"It was the sort of weird car that made me want to blurt out, ""what the heck is that?"""
what the heck,"What the heck, I'll do it! When shall I start?"
what the heck,What the heck is that supposed to mean?
what the heck,What the heck was that supposed to mean?
whining,The jet made a whining sound as it soared overhead.
whining,Tom can't put up with Mary's whining any longer.
whining,What's happened has happened; there's no use in whining and complaining.
whining,I can't take your whining anymore!
whirlwind,My friends gave us a whirlwind tour of Paris.
whirlwind,"Sow the wind, reap the whirlwind."
whirlwind,Tom and Mary had a whirlwind romance.
whirlwind,It was clear that Fadil and Layla were involved in a whirlwind romance.
willpower,You've got a lot of willpower.
willpower,I don't think Tom has the willpower to do that.
willpower,I don't think I have the willpower to do that.
willpower,Tom doesn't have the willpower to do that.
wipe,Wipe the sweat from your brow.
wipe,Mayuko wiped a table with a cloth.
wipe,"As Beth wiped tears from her face, she rushed home."
wipe,She wiped her wet hair with a towel.
with a grin,He said it with a grin on his face.
with a grin,He chuckled with a grin and scratched his belly.
with a grin,Ziri saw Rima with a grin on her face.
with a grin,Tom opened the door with a grin.
With a heavy heart,He went home with a heavy heart.
With a heavy heart,Finland supports Greece with a heavy heart.
With a heavy heart,Donald left with a heavy heart.
With a heavy heart,Santiago left with a heavy heart.
withdraw,You may as well withdraw from the club right away.
withdraw,I have to withdraw some cash from the bank.
withdraw,The Soviet troops started to withdraw from Afghanistan.
withdraw,The businessman didn't dare withdraw from the transaction.
wits,David has never had a steady job. He has always lived by his wits.
wits,Mary scared Tom out of his wits.
wits,I'm not going to get into a battle of wits with you; I never attack anyone who's unarmed.
wits,Tom was scared out of his wits.
womanizer,Sami was a hopeless womanizer.
womanizer,Sami was known to be a womanizer.
womanizer,Sami was known for being a womanizer.
womanizer,Tom is no longer the womanizer he used to be.
woozy,It's normal for you to feel a bit woozy.
woozy,Tom said he felt a little woozy.
woozy,Sami looked a little bit woozy.
woozy,Sami looked woozy because he had been drinking.
worn,The soles of my shoes are worn.
worn,Your hat should not be worn in the classroom.
worn,He was worn out after hours of work.
worn,"I'm worn out, because I've been standing all day."
worship,"The Romans worshiped their goddess, Juno."
worship,The Hindus worship in temples.
worship,That tribe worships its ancestors.
worship,The industrious merchant worships his ancestors.
wrinkle,I ironed out the wrinkles in my pants.
wrinkle,She has started to get a few wrinkles around her eyes.
wrinkle,Hang up your shirts before they wrinkle.
wrinkle,Wrinkles should merely indicate where smiles have been.
yawn,"Cover your mouth when you cough, sneeze, or yawn."
yawn,We yawn when we are short of oxygen.
yawn,"You should have seen yourself, yawning all through the meeting."
yawn,"Being bored, the audience began to yawn."
